week,avg(weight),avg(change)
28,0.5430411371604996,-0.05000000000000001
27,0.2703853350788798,0.298
26,0.3449001170028508,-0.061999999999999986
22,0.1035614013919035,-0.36999999999999994
16,0.21080378160124544,0.29750000000000004
20,0.5837926708828959,0.356
19,0.37264719150468434,-0.6279999999999999
15,0.3277405523072438,-0.08800000000000001
17,0.41818871056113277,-0.1975
23,0.38005815038810625,0.51
25,0.46254197027336125,0.07199999999999997
24,0.5120491722559577,-0.09
21,0.29416559846664564,-0.22600000000000003
14,0.5297060190923989,0.5800000000000001
18,0.35992409077557763,-0.25000000000000006
